Timestamp,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB,Comments
2021-10-31,224.91184439041334,139.61441472733588,116.16818339701285,237.53577631121917,231.76811392844738,24.878638416116708,89.25467176102813,1.1503994442514762,1.721048975338659,0.3905522750955193,152.30830149357416,7.05863146926016,1002.0052101424105,0.0013893713094824591,0.009829802014588399,33.11927752691907,32.89454671761028,
2021-11-30,218.72308796296298,173.40259259259258,96.58843055555556,236.69626851851854,229.06410185185183,26.488898148148145,86.2646736111111,1.003136574074074,1.4760092592592593,0.3448263888888889,137.3002314814815,6.586224537037038,999.498125,0.0009953703703703704,0.0016666666666666668,34.4442962962963,34.30396296296296,
2021-12-31,196.4354211469534,153.59142249103942,91.32437724014338,223.40765456989246,211.78944892473118,25.878651433691758,74.54487679211469,1.0018615591397848,1.477358870967742,0.3403091397849462,113.46471774193549,7.100730286738351,998.9390232974911,0.0004256272401433692,3.136200716845878e-05,32.87613127240143,32.73373879928316,
2022-01-31,196.847730734767,168.74534274193547,78.31006944444445,228.18848118279573,213.8742383512545,25.329688620071686,63.434422043010755,1.089959677419355,1.5918705197132619,0.3492159498207885,102.92326388888888,7.413982974910395,999.6308691756273,0.0006496415770609319,0.0,31.79771281362007,31.59512544802867,
2022-02-28,219.71697916666665,147.1748611111111,107.79295386904762,241.63789930555555,231.47464037698413,27.18580109126984,61.37347718253969,1.2014087301587302,1.7478943452380953,0.3603373015873016,119.78903521825397,7.609414682539682,998.8798363095239,0.0008432539682539683,0.0,33.91707093253969,34.04697916666667,
2022-03-31,231.2736021505376,129.3956630824373,126.95295922939067,240.9311715949821,224.86887320788531,28.359634856630827,62.51956541218638,1.337233422939068,1.9303270609318997,0.3878360215053763,142.8762656810036,8.342233422939067,997.8566532258064,0.0013664874551971326,0.0003382616487455197,35.137390232974916,35.179921594982076,
2022-04-30,236.64289351851852,144.40282638888888,117.43057175925927,233.47141435185185,224.70908796296297,28.747724537037037,66.62853935185186,1.7339907407407407,2.4240347222222223,0.45122685185185185,167.94359953703704,9.838942129629629,998.2042824074074,0.0012962962962962963,0.0007986111111111112,35.10308333333333,35.23028240740741,
2022-05-31,203.3768301971326,98.96883064516128,123.98234991039426,188.22931451612902,182.3654659498208,27.282618727598567,83.19287410394266,1.2813216845878135,1.855432347670251,0.3872916666666667,146.9164829749104,8.000179211469534,1000.4254704301076,0.000985663082437276,0.004168906810035842,32.87908602150537,33.06965949820789,
2022-06-30,200.2107523148148,98.43354166666667,121.72229398148147,181.54335185185184,172.75914814814814,25.957787037037036,88.05467361111111,0.9932361111111112,1.5226666666666666,0.3393148148148148,127.04168287037038,6.016208333333334,1000.6140509259259,0.0011111111111111111,0.006210648148148148,31.388199074074073,31.688375,
2022-07-31,169.4934879032258,54.2776523297491,127.46167562724015,157.83784498207885,152.3145273297491,25.114666218637993,91.20305555555555,1.098136200716846,1.6583781362007168,0.3626366487455197,141.15427643369176,6.5366599462365595,1001.9511200716846,0.0008512544802867384,0.011913082437275986,29.91965949820789,30.21336021505376,
2022-08-31,154.9485461469534,40.76192652329749,122.43311603942652,150.77682795698925,146.6468839605735,24.728138440860217,93.89227374551972,1.1195810931899641,1.7332482078853046,0.3912477598566308,147.01976926523298,6.692883064516129,1001.0592069892473,0.0010528673835125447,0.015448028673835126,29.088010752688174,29.260105286738355,
2022-09-30,193.05260648148146,79.69085648148148,130.29903240740742,189.92636574074075,185.40490046296296,25.398344907407406,90.86941203703704,0.9958796296296296,1.5133472222222222,0.3326064814814815,127.33342824074073,6.086185185185186,1000.9143055555555,0.0010185185185185184,0.011229166666666667,31.426743055555555,31.52867824074074,
2022-10-31,204.48564689542874,109.70339072340221,120.40880726036255,209.1098129834056,204.18260578051294,25.528991164004694,90.17060415219942,0.8907928449989225,1.3560858216996718,0.3141711165920356,120.31207825483106,5.798850602236536,1000.3314096884653,0.0009817772562917555,0.005119609204760423,32.2287157874572,32.456057086755585,
